YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2019,3,LABATT USA OPERATING CO LLC,88400,SEAGRAM SPIKED STRWBRRY DAIQURI 12/23.5OZ CAN,BEER,0.0,0.0,6.0
2019,3,MHW LTD,45098,BOLS BRANDY - CHERRY - 1L,LIQUOR,1.24,0.0,0.0
2017,12,DIONYSOS IMPORTS INC,364487,MONTE VELHO ALENTEJO RED - 750ML,WINE,0.81,0.0,1.0
2020,7,SAZERAC CO,76757,MARIE BRIZARD CHOCOLATE ROYAL - 750ML,LIQUOR,0.51,0.0,0.0
2019,4,TREASURY WINE ESTATES AMERICAS COMPANY,72729,LINDEMANS BIN 40 MER - 1.5L,WINE,10.48,11.0,19.0
2019,1,PWSWN INC,48512,BULGARIANA CAB/SYR            329148 - 750ML,WINE,1.13,1.0,1.0
2020,1,YOUNG WON TRADING INC,62647,KYOTO WHITE YUZU ALE - 330ML,BEER,0.0,0.0,1.0
2020,1,BOSTON BEER CORPORATION,2259,DOGFISH HEAD 60 MIN IPA 1/6K,KEGS,0.0,0.0,22.0
2019,1,PUNTO VINO LLC,427707,HILLINGER EVELINE P/NOIR - 750ML,WINE,0.0,0.0,2.0
2017,9,DEUTSCH FAMILY WINE & SPIRITS,431575,JOSH CELLARS CHARD - 750ML,WINE,60.43,58.92,23.0
2017,7,JACKSON FAMILY ENTERPRISES INC,336754,LIBERATED CABERNET SAUVIGNON - 750ML,WINE,4.32,6.0,4.0
2017,11,LEGENDS LTD,12649,STILLWATER STATESIDE - 16OZ CAN,BEER,0.0,0.0,3.0
2019,7,CONSTELLATION BRANDS,75493,ARBOR MIST SANGRIA ZIN - 750ML,WINE,0.0,0.0,9.0
2020,1,MACK & SCHUHLE INC,320999,EL TRACTOR MAL - 750ML,WINE,0.0,0.0,9.0
2018,1,QUINTESSENTIAL LLC,89282,NEW AGE WHITE - 750ML,WINE,3.45,10.67,7.83
2019,11,PUNTO VINO LLC,237800,KALTERN CALDARO P/GRIG (CLYDE'S CUV) - 750ML,WINE,0.0,0.0,23.0
2019,5,CROWN IMPORTS,28411,MODELO CHELADA CANS 12/CS - 24OZ,BEER,5.66,5.0,906.83
2019,2,ANHEUSER BUSCH INC,95028,BUD LIGHT 1/2K,KEGS,0.0,0.0,261.0
2019,9,THE HESS COLLECTION,310219,HESS ALLOMI VYD CAB - 375ML,WINE,0.41,0.0,0.0
2019,2,MHW LTD,81436,CH FOURCAS DUPRE '16 - 750ML,WINE,0.24,26.0,0.0
2017,7,PERNOD RICARD USA LLC,10443,OLMECA ALTOS TEQ - REPOSADO - 750ML,LIQUOR,9.81,10.0,1.0
2019,7,CLIPPER CITY BREWING CO,10095,HEAVY SEAS AMERICANNON 4/6 NR,BEER,4.75,6.0,10.0
2017,11,A VINTNERS SELECTIONS,336038,LA VALENTINA MONTEPUL - 750ML,WINE,0.0,0.0,15.0
2019,11,CONSTELLATION BRANDS,313564,VENDANGE TETRA MER - 500ML,WINE,0.08,0.0,9.0
2020,7,REPUBLIC NATIONAL DISTRIBUTING CO,333629,YEALANDS S/BLC - 750ML,WINE,0.0,0.0,4.0
2017,11,QUINTESSENTIAL LLC,44931,PILLAR BOX RES SHZ - 750ML,WINE,1.8,0.0,0.0
2019,3,BACCHUS IMPORTERS LTD,237211,HANZELL VYDS CHARD - 750ML,WINE,0.0,0.0,1.0
2017,12,BACCHUS IMPORTERS LTD,42522,FELSINA CHN CL RIS RANCIA - 750ML,WINE,0.08,0.0,0.0
2019,9,VICTORY BREWING COMPANY LLC,29620,VICTORY FESTBIER 4/6 NR,BEER,14.33,5.0,13.0
2017,10,LEGENDS LTD,23513,LAGUNITAS PILS 1/2K,KEGS,0.0,0.0,1.0
2017,7,CONSTELLATION BRANDS,70055,BLACK VELVET CINNAMON RUSH - 750ML,LIQUOR,2.84,0.0,0.0
2019,5,ELITE WINES IMPORTS,384399,STIX CAB - 750ML,WINE,0.24,0.0,4.0
2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,41160,HIGH WIRE DISTILLING NEW SOUTHERN REVIVAL BOURBON WHISKEY - 750ML,LIQUOR,0.17,0.0,0.0
2019,10,"THE COUNTRY VINTNER, LLC DBA WINEBOW",336518,J PORTUGAL RAMOS LOURIERO VV 13 - 750ML,WINE,0.0,0.0,1.0
2017,12,REPUBLIC NATIONAL DISTRIBUTING CO,304583,TOM EDDY TENZ S/BLC - 750ML,WINE,0.16,0.0,0.0
2019,2,HEINEKEN USA,23282,HEINEKEN LIGHT 2/12 FP CAN - 12OZ,BEER,1.0,1.0,30.0
2020,9,LANTERNA DISTRIBUTORS INC,310355,DOM DES HERBAUGES GROLLEAU GRIS - 750ML,WINE,0.0,0.0,8.0
2017,12,TREANA WINERY LLC,83816,LIBERTY SCHOOL P/NOIR - 750ML,WINE,0.33,0.0,0.0
2020,9,DIONYSOS IMPORTS INC,428297,HUNTERS P/NOIR - 750ML,WINE,0.0,0.0,1.0
2018,2,PALM BAY IMPORTS,68225,DRY SACK MEDIUM SHERRY - 750ML,WINE,4.89,5.0,2.0
2019,7,LEGENDS LTD,11360,LAGUNITAS 12TH OF NEVER - 12.OZ 2/12 CAN,BEER,2.0,3.0,16.0
2017,11,NICKOLAS IMPORTS LLC,321361,ZAHARIAS S/BLC - 750ML,WINE,0.0,0.0,2.0
2017,12,REPUBLIC NATIONAL DISTRIBUTING CO,18139,LINGANORE SKIPJACK - 750ML,WINE,11.56,12.0,7.0
2019,11,RELIABLE CHURCHILL LLLP,83102,WOODWORK CAB - 750ML,WINE,0.0,0.0,1.0
2017,7,KATCEF BROTHERS INC,31113,BOLD ROCK PREMIUM DRY - 12.OZ 4/6NR,BEER,0.0,0.0,32.0
2019,7,BARON FRANCOIS LTD,86232,KIWI CUVEE S/BLC - 750ML,WINE,1.14,3.0,2.0
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,313417,CAPEZZANA BARCO REALE - 750ML,WINE,0.0,0.0,1.0
2019,1,FIFTH GENERATION INC,62847,TITO'S HANDMADE VODKA - 1L,LIQUOR,198.99,185.0,232.0
2019,2,DIAGEO NORTH AMERICA INC,20613,SEAGRAM'S 7 CROWN - 750ML,LIQUOR,10.95,8.0,0.0
2020,3,REPUBLIC NATIONAL DISTRIBUTING CO,310326,CH LASSEGUE LES CADRANS - 750ML,WINE,0.5,1.0,2.0
2017,7,WILLIAM GRANT AND SONS INC,70360,SAILOR JERRY SPICED RUM-92 - 1.75L,LIQUOR,18.83,12.0,0.0
2019,1,SUTTER HOME WINERY INC,84220,SUTTER HOME CAB - 750ML,WINE,6.86,3.67,17.0
2019,3,"THE COUNTRY VINTNER, LLC DBA WINEBOW",415898,VAJRA BAROLO - 750ML,WINE,0.0,0.0,1.0
2019,6,SAZERAC CO,17353,BUFFALO TRACE BOURBON - 750ML,LIQUOR,35.92,23.0,9.0
2019,6,BARON FRANCOIS LTD,401382,PIGMENTUM GEORGE VIGOUROUX MAL - 750ML,WINE,0.96,0.0,0.0
2017,12,MOET HENNESSY USA,41701,NEWTON RED LABEL CHARD - 750ML,WINE,16.56,10.0,1.0
2017,7,ELITE WINES IMPORTS,362069,SAN POLO AUKA MAL - 750ML,WINE,0.0,0.0,3.0
2019,5,DIAGEO NORTH AMERICA INC,70377,GODIVA VODKA - CHOCOLATE RASPBERRY - 750ML,LIQUOR,0.68,0.0,0.0
2020,1,LEGENDS LTD,29030,MAINE TINY SOMETHING BEAUTIFUL 12/16.9.OZ NR,BEER,0.0,0.0,1.0
2019,1,ROYAL WINE CORP,101672,KEDEM SHERRY ROYALE - 750ML,WINE,0.0,0.0,1.0
2019,8,CONSTELLATION BRANDS,21148,HOGUE CAB - 750ML,WINE,3.33,4.0,5.0
2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,83301,GERARD BERTRAND KOSMOS RED - 750ML,WINE,0.72,0.0,0.0
2020,3,LEGENDS LTD,69504,FOUNDERS CENTENNIAL 4/6 CANS,BEER,0.0,0.0,1.0
2017,12,DIONYSOS IMPORTS INC,163759,BOUTARI KRETIKOS WHITE - 750ML,WINE,0.0,0.0,0.0
2017,6,LEGENDS LTD,29078,SOUTHERN TIER TANGIER IPA 4/6 12.OZ NR,BEER,1.25,0.0,0.0
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,328047,BESO DEL SOL SANGRIA - 3L,WINE,0.0,0.0,2.0
2019,5,TREASURY WINE ESTATES AMERICAS COMPANY,83942,LINDEMANS BIN 85 P/GRIG - 1.5L,WINE,15.14,10.0,8.0
2017,6,CASTLE BRANDS USA CORP,73353,JEFFERSONS EXPERIMENT COLLECTION - 200ML,LIQUOR,3.74,0.0,0.0
2019,9,"THE COUNTRY VINTNER, LLC DBA WINEBOW",188050,BODEGAS CASTANO SOLANERA - 750ML,WINE,0.0,0.0,1.0
2017,6,BACARDI USA INC,73754,BOMBAY GIN - SAPPHIRE EAST - 1L,LIQUOR,5.13,0.0,0.0
2017,12,REPUBLIC NATIONAL DISTRIBUTING CO,357804,A TO Z OREGON P/NOIR - 750ML,WINE,36.95,45.0,34.0
2018,2,BROWN-FORMAN BEVERAGES WORLDWIDE,19291,GENTLEMAN JACK - 750ML,LIQUOR,28.61,33.92,1.0
2019,5,SOUTHERN GLAZERS WINE AND SPIRITS,70298,CASA DRAGONES TEQ JOVEN - 750ML,LIQUOR,0.66,0.0,0.0
2019,4,DELICATO FAMILY VINEYARDS,80844,GNARLY HEAD P/NOIR - 750ML,WINE,36.65,32.0,6.0
2019,2,DIONYSOS IMPORTS INC,320798,KECHRI KECHRIBARI RETSINA WHITE - 750ML,WINE,0.0,0.0,1.0
2020,7,OPICI FAMILY DISTRIBUTING OF MD,353890,LES TOURELLES CHARD MONTAGNY PREMIER CRU 750ML,WINE,0.0,0.0,3.0
2019,2,BACCHUS IMPORTERS LTD,46466,MOHUA S/BLC - 750ML,WINE,0.5,0.0,16.0
2017,12,THE HESS COLLECTION,84697,HESS MONTEREY CHARD - 750ML,WINE,31.25,29.0,20.0
2018,2,DOPS INC,5916,DELIRIUM TREMENS NR - 25.4OZ,BEER,0.64,0.0,16.0
2020,3,LABATT USA OPERATING CO LLC,23044,SEAGRAM VARIETY 2/12 NR - 355ML,BEER,34.5,34.0,78.5
2019,7,CONSTANTINE WINES INC,305306,SAWANOTSURU GENSHU - 150ML,WINE,0.0,0.0,1.0
2019,9,YUENGLING BREWERY,3077,YUENGLING BLACK & TAN 2/12 NR - 12OZ,BEER,29.58,31.0,123.0
2019,11,SAZERAC CO,348422,FIREBALL CINNAMON WHISKY PARTY BUCKET - 20/50ML,LIQUOR,114.27,91.0,0.0
2019,1,MONSIEUR TOUTON SELECTION,392103,CH LESCALLE BORD SUP - 750ML,WINE,0.49,0.0,0.0
2020,7,LAPHAM SALES & MARKETING DBA LAPHAM,73008,CRUZ GARCIA REAL SANGRIA RED - 1.5L,WINE,31.4,36.0,37.0
2019,6,LEGENDS LTD,28815,BALTIMORE BEER WORKS ANNABEL LEE WHITE 4/6 12.OZ NR,BEER,0.25,0.0,15.5
2019,9,HEINEKEN USA,1970,HEINEKEN DRAFT KEG CAN - 5L,BEER,4.5,4.0,78.0
2017,6,JIM BEAM BRANDS CO,70379,PINNACLE VODKA - RAINBOW SHERBET - 750ML,LIQUOR,0.08,0.0,0.0
2019,3,AREL GROUP WINE & SPIRITS,307131,CARLETTO SPARK PROSECCO - 750ML,WINE,0.0,0.0,6.0
2020,9,"THE COUNTRY VINTNER, LLC DBA WINEBOW",356256,CH DE ROUANNE BRUT NATURE ROSE - 750ML,WINE,0.0,0.0,2.0
2017,7,TREASURY WINE ESTATES AMERICAS COMPANY,84111,BERINGER CAL CAB - 1.5L,WINE,7.91,5.0,8.0
2019,11,REPUBLIC NATIONAL DISTRIBUTING CO,337085,SUTTER HOME PINOT NOIR - 187ML,WINE,0.08,0.0,6.0
2019,8,LEGENDS LTD,10936,FOUNDERS DIRTY BASTARD - 4/6,BEER,0.0,0.0,9.0
2019,9,OPICI FAMILY DISTRIBUTING OF MD,317480,SMOKING LOON STEELBIRD CHARD - 750ML,WINE,0.0,0.0,4.0
2017,7,LEGENDS LTD,12849,WEYERBACHER SEXY MOTHERPUCKER 4/6 - 12OZ,BEER,0.0,0.0,5.0
2019,3,HOME BREW MART INC,50102,BALLAST POINT MANGO EVEN KEEL 4/6 CAN,BEER,0.0,0.0,9.0
2019,3,PWSWN INC,341433,KARAS WH WINE - 750ML,WINE,0.0,0.0,1.0
2017,9,A VINTNERS SELECTIONS,435023,HEINZ EIFEL RIES AUS - 750ML,WINE,0.0,0.0,3.0
2019,4,DIONYSOS IMPORTS INC,326215,LOS MEDANOS MAL ORGANIC - 750ML,WINE,0.0,0.0,2.0
2019,4,PRESTIGE BEVERAGE GROUP OF MD LLC,237778,BARRELL DOVETAIL RUM FINISHED WHISKEY - 750ML,LIQUOR,0.34,12.0,0.0
2019,2,REPUBLIC NATIONAL DISTRIBUTING CO,47666,BOISSIERE DRY VERM - 1L,WINE,0.32,0.0,0.0
2019,8,FN CELLARS LLC,42004,NICKEL & NICKEL CC RANCH CAB 16/17 - 750ML,WINE,0.17,0.0,0.0
2019,9,CONSTANTINE WINES INC,344449,FOXGLOVE CHARD - 750ML,WINE,0.0,0.0,13.0
2019,2,GAMBRINUS,95249,SHINER BOCK 1/2K,KEGS,0.0,0.0,7.0
2019,6,SOUTHERN GLAZERS WINE AND SPIRITS,340576,BALLETTO TERESA'S UNOAK CHARD - 750ML,WINE,0.0,0.0,0.0
2019,1,GRAPES OF SPAIN INC,310412,MOLINOS DE DULCINEA WHITE BIB - 5L,WINE,0.0,0.0,13.0
2019,4,"THE COUNTRY VINTNER, LLC DBA WINEBOW",111708,DR PAULY BERG NOBLE HOUSE RIES - 750ML,WINE,0.24,0.0,3.0
2019,5,MONSIEUR TOUTON SELECTION,341990,CH HAUT TUQUET CASTILLON C' BORD - 750ML,WINE,0.0,0.0,3.0
2019,9,"THE COUNTRY VINTNER, LLC DBA WINEBOW",376230,BODEGAS PASO A PASO TEMP - 750ML,WINE,0.0,0.0,9.0
2019,3,SOUTHERN GLAZERS WINE AND SPIRITS,232648,J VIDAL-FLEURY CDR BLANC - 750ML,WINE,0.0,0.0,1.0
2019,11,STOLI GROUP (USA) LLC,166690,STOLI ELIT VODKA W/STEEL CUP & STRAW - 750ML,LIQUOR,1.5,27.0,0.0
2019,10,"THE COUNTRY VINTNER, LLC DBA WINEBOW",44905,FIRE ROAD S/BLC - 750ML,WINE,6.59,7.0,71.0
2017,12,PUNTO VINO LLC,180521,MUSARAGNO P/GRIG - 750ML,WINE,0.0,0.0,15.0
2017,11,NICKOLAS IMPORTS LLC,318040,LOUKATOS RETSINA - 1.5L,WINE,0.0,0.0,1.0
2019,1,MONSIEUR TOUTON SELECTION,232590,ZIOBAFFA ORG PROSECCO - 750ML,WINE,0.0,0.0,1.0
2019,11,"THE COUNTRY VINTNER, LLC DBA WINEBOW",45262,LOIMER GRUNER VELT LOIS - 750ML,WINE,1.64,0.0,0.0
2017,6,OENOS LLC,332139,ANDREOLA VERY X/DRY PROSECCO - 750ML,WINE,0.16,0.0,10.0
2019,7,REPUBLIC NATIONAL DISTRIBUTING CO,351176,PEBBLE LANE ROSE - 750ML,WINE,0.0,0.0,1.0
2018,1,CAMPARI AMERICA LLC,297468,GRAND MARNIER 750 ML GLASS VAP 2017,LIQUOR,0.68,0.0,0.0
2019,6,CONSTELLATION BRANDS,82163,CLOS DU BOIS MER - 750ML,WINE,9.85,6.83,4.0
2018,1,STE MICHELLE WINE ESTATES,83780,CH ST MICH CHARD - 750ML,WINE,40.87,28.0,76.0
2017,9,A VINTNERS SELECTIONS,305380,ENAMORE - 750ML,WINE,1.23,0.0,0.0
2017,7,JIM BEAM BRANDS CO,70508,MAKERS MARK CASK STRENGTH - 375ML,LIQUOR,1.29,0.0,0.0
2017,12,CONSTELLATION BRANDS,86746,TAYLOR CAL WHITE - 3L,WINE,12.5,9.0,2.0
2019,6,SOUTHERN GLAZERS WINE AND SPIRITS,63410,MOUTON CADET RED - 750ML,WINE,4.99,5.0,17.0
2017,10,REPUBLIC NATIONAL DISTRIBUTING CO,307222,BOTA TETRA BOX MOSCATO - 500ML,WINE,0.08,1.0,0.0
2017,9,BACCHUS IMPORTERS LTD,48658,CLINE CAL SYR - 750ML,WINE,0.48,0.0,1.0
2017,9,AREL GROUP WINE & SPIRITS,73377,CANDONI P/NOIR - 750ML,WINE,5.62,7.0,2.0
2018,1,REPUBLIC NATIONAL DISTRIBUTING CO,384978,BUCA DI BEPPO CHN - 1L,WINE,0.0,0.0,3.0
2019,11,LEGENDS LTD,22348,DACHOUFFE LA CHOUFFE NR - 750ML,BEER,0.0,0.0,1.0
2019,3,ROYAL WINE CORP,351984,VITKIN RED ISRAELI JOURNEY - 750ML,WINE,0.0,0.0,2.0
2019,8,LANTERNA DISTRIBUTORS INC,433038,99 VINES P/NOIR - 750ML,WINE,0.0,0.0,2.0
2019,10,INTERBALT PRODUCTS CORP,62011,HUNTER LAGER - 650ML,BEER,0.0,0.0,2.0
2019,9,OPICI FAMILY DISTRIBUTING OF MD,353830,AIME MOSCATO 16 C/O - 750ML,WINE,0.0,0.0,10.0
2017,10,FETZER VINEYARDS,86282,FETZER ANTHONYS HILL CAB - 1.5L,WINE,22.92,22.0,10.0
2019,9,REPUBLIC NATIONAL DISTRIBUTING CO,316397,ANGELA EST P/NOIR - 750ML,WINE,2.17,0.0,0.0
2017,8,BACARDI USA INC,79669,MARTINI & ROSSI DRY VERMOUTH - 375ML,WINE,16.86,18.0,0.0
2020,3,DIAGEO NORTH AMERICA INC,71619,BULLEIT BOURBON - 1.75L,LIQUOR,249.72,240.17,0.0
2019,10,YOUNG WON TRADING INC,196410,SHO CHIKU BAI PREM GINJO SAKE - 300ML,WINE,0.0,0.0,5.0
2019,11,E & J GALLO WINERY,81671,GALLO FAMILY VYDS WH/ZIN - 187ML,WINE,0.0,0.0,7.0
2017,12,E & J GALLO WINERY,81647,GALLO FAMILY VYDS CHARD - 187ML,WINE,0.71,0.0,15.0
2018,1,THE WINE GROUP,83020,BENZIGER SONOMA CHARD - 750ML,WINE,8.56,11.0,4.0
2019,9,DOPS INC,63332,GREENPOINT BRUT IPA 6/4 16OZ CANS,BEER,0.28,0.0,0.0
2019,11,FREDERICK WILDMAN & SONS,42900,BOLLA CHIANTI - 1.5L,WINE,2.53,2.0,1.0
2017,6,INTERBALT PRODUCTS CORP,346875,NISKO LUGER - 500ML,BEER,0.0,0.0,2.0
2019,8,MONSIEUR TOUTON SELECTION,62628,LOUIS LATOUR CHARD - 750ML,WINE,0.91,1.0,0.0
2019,5,DOGFISH HEAD CRAFT BREWERY LLC,23916,DOGFISH HEAD WOOD AGED BITCHES BREW 1/6 KEG,KEGS,0.0,0.0,9.0
2018,2,A VINTNERS SELECTIONS,72605,COUSINO MACUL CHARD - 750ML,WINE,6.3,5.0,2.0
2017,7,PRESTIGE BEVERAGE GROUP OF MD LLC,77501,ASOMBROSO TEQUILA - SILVER - 750ML,LIQUOR,0.17,0.0,0.0
2017,10,ANHEUSER BUSCH INC,26216,BUD ICE 15/25OZ CANS,BEER,0.0,0.0,374.73
2019,4,OPICI FAMILY DISTRIBUTING OF MD,346696,PEIRANO ILLUSION RED - 750ML,WINE,0.0,0.0,9.0
2020,7,PRESTIGE BEVERAGE GROUP OF MD LLC,239500,BARDSTOWN BOURB CO THE PRISONER KY STRAIGHT BOURB WHISKEY - 750ML,LIQUOR,1.36,0.0,0.0
2019,5,SURVILLE ENTERPRISES CORP,81321,B&G BISTRO P/NOIR - 750ML,WINE,0.24,0.0,0.0
2019,6,"THE COUNTRY VINTNER, LLC DBA WINEBOW",427995,J&H SELBACH RIES QBA - 750ML,WINE,0.99,1.0,1.0
2019,6,"THE COUNTRY VINTNER, LLC DBA WINEBOW",313399,SANTA LUZ MALB ALBA - 750ML,WINE,0.0,0.0,1.0
2020,9,REPUBLIC NATIONAL DISTRIBUTING CO,310814,TREANA VIOGNIER/MARSANNE - 750ML,WINE,0.0,0.0,2.0
2019,5,SUTTER HOME WINERY INC,84204,SUTTER HOME MER - 1.5L,WINE,29.21,26.0,36.0
2019,1,BACKUP BEVERAGE,62834,COUNCIL VARIETY SOUR 6/4 CANS,BEER,0.0,0.0,1.0
2019,8,FETZER VINEYARDS,74063,CYT FRONTERA MER - 750ML,WINE,21.02,17.0,28.0
2019,9,CAMPARI AMERICA LLC,35238,SKYY VODKA - 1.75L,LIQUOR,229.94,182.0,0.0
2019,8,TESTA WINES OF THE WORLD LTD,321698,EMPEROR NERO D'AVOLA - 750ML,WINE,0.57,0.0,2.0
2019,3,BOSTON BEER CORPORATION,95338,SAM ADAMS LAGER 1/2K,KEGS,0.0,0.0,54.0
2019,9,CONSTANTINE WINES INC,32573,ZD NAPA VALLEY CHARD - 750ML,WINE,0.25,0.0,0.0
2017,10,WINEBOW INC,306455,CORTE GIARA CHARD - 750ML,WINE,0.25,0.0,0.0
2020,3,BARON FRANCOIS LTD,172162,BEAUROY A GEOFFROY CHAB 1ER CR - 750ML,WINE,1.39,2.0,0.0
